location,date,record,date,location,2019_population,total_vaccinations,total_distributed,unused_doses,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
Alabama,2021-01-12,1,2021-01-12,Alabama,4903185,78134.0,377025.0,298891,70861.0,0.15,1.59,7270.0,1.45,7.69,,,,0.207,,
Alabama,2021-01-19,8,2021-01-19,Alabama,4903185,130795.0,444650.0,344083,114319.0,0.33,2.67,16346.0,2.33,9.07,8267.0,7523.0,1534.0,0.294,,
Alabama,2021-01-26,15,2021-01-26,Alabama,4903185,254959.0,569000.0,344075,223854.0,0.63,5.2,30933.0,4.57,11.6,33395.0,18294.0,3731.0,0.481,,
Alabama,2021-02-02,22,2021-02-02,Alabama,4903185,371882.0,680550.0,376282,312711.0,1.2,7.58,58825.0,6.38,13.88,41521.0,18178.0,3707.0,0.546,,
Alabama,2021-02-09,29,2021-02-09,Alabama,4903185,490969.0,823600.0,391247,395196.0,1.94,10.01,95033.0,8.06,16.8,24576.0,18526.0,3778.0,0.596,,
Alabama,2021-02-16,36,2021-02-16,Alabama,4903185,636682.0,1015775.0,379093,486206.0,3.04,12.99,149288.0,9.92,20.72,30044.0,22405.0,4569.0,0.634,,
Alabama,2021-02-23,43,2021-02-23,Alabama,4903185,815108.0,1084440.0,382155,593936.0,4.88,16.62,239425.0,12.11,22.12,67094.0,25489.0,5198.0,0.752,,
Alabama,2021-03-02,50,2021-03-02,Alabama,4903185,972161.0,1461320.0,489159,663187.0,6.73,19.83,330046.0,13.53,29.8,37231.0,27531.0,5615.0,0.739,,
Alabama,2021-03-09,57,2021-03-09,Alabama,4903185,1140984.0,1689050.0,548066,747268.0,8.57,23.27,420083.0,15.24,34.45,35119.0,24388.0,4974.0,0.686,,
Alabama,2021-03-16,64,2021-03-16,Alabama,4903185,1332298.0,2004160.0,671862,871536.0,10.44,27.17,511869.0,17.77,40.87,39403.0,27331.0,5574.0,0.681,,
Alabama,2021-03-23,71,2021-03-23,Alabama,4903185,1509445.0,2275030.0,765585,994253.0,11.82,30.78,579598.0,20.28,46.4,36630.0,27167.0,5541.0,0.679,,
Alabama,2021-03-30,78,2021-03-30,Alabama,4903185,1697641.0,2722700.0,1025059,1134739.0,13.12,34.62,643450.0,23.14,55.53,36675.0,27004.0,5507.0,0.657,,
Alabama,2021-04-06,85,2021-04-06,Alabama,4903185,1896920.0,3106870.0,1209950,1267859.0,14.79,38.69,725270.0,25.86,63.36,43243.0,28865.0,5887.0,0.645,,
Alabama,2021-04-13,92,2021-04-13,Alabama,4903185,2127317.0,3358930.0,1231613,1407463.0,17.22,43.39,844353.0,28.71,68.51,44990.0,32914.0,6713.0,0.638,,
Alabama,2021-04-20,99,2021-04-20,Alabama,4903185,2327764.0,3761730.0,1433966,1494421.0,19.71,47.47,966251.0,30.48,76.72,41574.0,33381.0,6808.0,0.636,,
Alabama,2021-04-27,106,2021-04-27,Alabama,4903185,2499694.0,4009430.0,1509736,1558652.0,22.02,50.98,1079815.0,31.79,81.77,35325.0,27377.0,5584.0,0.626,,
Alabama,2021-05-04,113,2021-05-04,Alabama,4903185,2644674.0,4145390.0,1513145,1609919.0,24.06,53.94,1179793.0,32.83,84.54,32123.0,23898.0,4874.0,0.638,,
Alabama,2021-05-11,120,2021-05-11,Alabama,4903185,2773902.0,4295160.0,1551959,1658191.0,25.98,56.57,1273999.0,33.82,87.6,53175.0,20899.0,4262.0,0.648,,
Alabama,2021-05-18,127,2021-05-18,Alabama,4903185,2905553.0,4389040.0,1519689,1709333.0,27.79,59.26,1362380.0,34.86,89.51,40222.0,22667.0,4623.0,0.662,,
Alabama,2021-05-25,134,2021-05-25,Alabama,4903185,2996346.0,4484660.0,1513979,1754294.0,28.87,61.11,1415771.0,35.78,91.46,33059.0,16353.0,3335.0,0.668,,
Alabama,2021-06-01,141,2021-06-01,Alabama,4903185,3022276.0,4578590.0,1558050,1766784.0,29.23,61.64,1433267.0,36.03,93.38,9416.0,13786.0,2812.0,0.667,,
Alabama,2021-06-08,148,2021-06-08,Alabama,4903185,3036833.0,4646130.0,1609297,1774535.0,29.43,61.94,1443230.0,36.19,94.76,7070.0,3239.0,661.0,0.66,,
Alabama,2021-06-15,155,2021-06-15,Alabama,4903185,3129657.0,4686280.0,1606065,1816769.0,30.62,63.83,1501171.0,37.05,95.58,26714.0,13261.0,2705.0,0.669,,
Alabama,2021-06-22,162,2021-06-22,Alabama,4903185,3291351.0,4759120.0,1550268,1918334.0,31.96,67.13,1566908.0,39.12,97.06,111481.0,27005.0,5508.0,0.692,,
Alabama,2021-06-29,169,2021-06-29,Alabama,4903185,3349904.0,4810050.0,1484604,1953410.0,32.51,68.32,1594040.0,39.84,98.1,12972.0,22442.0,4577.0,0.696,,
Alabama,2021-07-06,176,2021-07-06,Alabama,4903185,3392366.0,4845190.0,1470627,1976343.0,32.99,69.19,1617584.0,40.31,98.82,16373.0,9263.0,1889.0,0.7,,
Alabama,2021-07-13,183,2021-07-13,Alabama,4903185,3434360.0,4885650.0,1469214,2000752.0,33.42,70.04,1638866.0,40.81,99.64,12340.0,6533.0,1332.0,0.703,,
Alabama,2021-07-20,190,2021-07-20,Alabama,4903185,3471361.0,4928670.0,1458741,2024953.0,33.75,70.8,1654644.0,41.3,100.52,13654.0,6658.0,1358.0,0.705,,
Alabama,2021-07-27,197,2021-07-27,Alabama,4903185,3534356.0,5015500.0,1496906,2073358.0,34.11,72.08,1672423.0,42.29,102.29,14298.0,8999.0,1835.0,0.707,,
Alabama,2021-08-03,204,2021-08-03,Alabama,4903185,3634744.0,5167970.0,1572715,2154479.0,34.54,74.13,1693504.0,43.94,105.4,30793.0,14341.0,2925.0,0.707,,
Alabama,2021-08-10,211,2021-08-10,Alabama,4903185,3730982.0,5358370.0,1630533,2231388.0,34.99,76.09,1715676.0,45.51,109.28,29942.0,16042.0,3272.0,0.701,,
Alabama,2021-08-17,218,2021-08-17,Alabama,4903185,3828166.0,5581220.0,1785376,2295863.0,35.66,78.08,1748529.0,46.82,113.83,23596.0,14773.0,3013.0,0.693,,
Alabama,2021-08-24,225,2021-08-24,Alabama,4903185,3963352.0,5863360.0,1956844,2368289.0,36.76,80.83,1802279.0,48.3,119.58,30696.0,19583.0,3994.0,0.682,,
Alabama,2021-08-31,232,2021-08-31,Alabama,4903185,4136247.0,6127400.0,2013020,2442247.0,38.35,84.36,1880276.0,49.81,124.97,56159.0,25900.0,5282.0,0.675,,
Alabama,2021-09-07,239,2021-09-07,Alabama,4903185,4237710.0,6294440.0,2084830,2485579.0,39.36,86.43,1930090.0,50.69,128.37,31191.0,24661.0,5030.0,0.673,,
Alabama,2021-09-14,246,2021-09-14,Alabama,4903185,4329528.0,6447940.0,2135326,2516176.0,40.4,88.3,1980807.0,51.32,131.51,31922.0,16185.0,3301.0,0.675,,
Alabama,2021-09-21,253,2021-09-21,Alabama,4903185,4430711.0,6547850.0,2158387,2552143.0,41.58,90.36,2038644.0,52.05,133.54,24408.0,14739.0,3006.0,0.677,,
Alabama,2021-09-28,260,2021-09-28,Alabama,4903185,4511086.0,6646890.0,2168213,2577657.0,42.45,92.0,2081567.0,52.57,135.56,22055.0,13959.0,2847.0,0.679,,
Alabama,2021-10-05,267,2021-10-05,Alabama,4903185,4584378.0,6742810.0,2193925,2597448.0,43.07,93.5,2111925.0,52.97,137.52,20875.0,12950.0,2641.0,0.68,15821.0,0.32
Alabama,2021-10-12,274,2021-10-12,Alabama,4903185,4657171.0,6864150.0,2228121,2616672.0,43.64,94.98,2139547.0,53.37,139.99,20885.0,12874.0,2626.0,0.68,42621.0,0.87
Alabama,2021-10-19,281,2021-10-19,Alabama,4903185,4714057.0,6946650.0,2257180,2632750.0,44.04,96.14,2159523.0,53.69,141.68,15276.0,9374.0,1912.0,0.679,64151.0,1.31
Alabama,2021-10-26,288,2021-10-26,Alabama,4903185,4779470.0,7069650.0,2302826,2653566.0,44.45,97.48,2179242.0,54.12,144.18,17503.0,10252.0,2091.0,0.676,90226.0,1.84
Alabama,2021-11-02,295,2021-11-02,Alabama,4903185,4889817.0,7302580.0,2412763,2677664.0,44.84,99.73,2198533.0,54.61,148.94,25743.0,15857.0,3234.0,0.675,158669.0,3.24
Alabama,2021-11-09,302,2021-11-09,Alabama,4903185,4974840.0,7456320.0,2481480,2696907.0,45.16,101.46,2214496.0,55.0,152.07,22540.0,15306.0,3122.0,0.671,210032.0,4.28
Alabama,2021-11-16,309,2021-11-16,Alabama,4903185,5061882.0,7696280.0,2672367,2720602.0,45.51,103.24,2231219.0,55.49,156.96,35698.0,12435.0,2536.0,0.666,258231.0,5.27
Alabama,2021-11-23,316,2021-11-23,Alabama,4903185,5170333.0,7827970.0,2686781,2749881.0,45.85,105.45,2247882.0,56.08,159.65,28155.0,18294.0,3731.0,0.66,322129.0,6.57
Alabama,2021-11-30,323,2021-11-30,Alabama,4903185,5242493.0,7847520.0,2656485,2772024.0,46.18,106.92,2264466.0,56.54,160.05,20702.0,16222.0,3308.0,0.67,356577.0,7.27
Alabama,2021-12-07,330,2021-12-07,Alabama,4903185,5358521.0,7902810.0,2611177,2804132.0,46.58,109.29,2283759.0,57.19,161.18,32685.0,17078.0,3483.0,0.68,422668.0,8.62
Alabama,2021-12-14,337,2021-12-14,Alabama,4903185,5449205.0,8020150.0,2575416,2825574.0,46.96,111.14,2302467.0,57.63,163.57,24895.0,16242.0,3313.0,0.68,474243.0,9.67
Alabama,2021-12-21,344,2021-12-21,Alabama,4903185,5518826.0,8120290.0,2636233,2842738.0,47.24,112.56,2316077.0,57.98,165.61,18499.0,12461.0,2541.0,0.691,514090.0,10.48
Alabama,2021-12-28,351,2021-12-28,Alabama,4903185,5604954.0,8046130.0,2496811,2863485.0,47.55,114.31,2331596.0,58.4,164.1,18007.0,12304.0,2509.0,0.701,564539.0,11.51
Alabama,2022-01-04,358,2022-01-04,Alabama,4903185,5678299.0,8051430.0,2431555,2884819.0,47.84,115.81,2345599.0,58.84,164.21,15999.0,10989.0,2241.0,0.707,603124.0,12.3
Alabama,2022-01-11,365,2022-01-11,Alabama,4903185,5747337.0,8582180.0,2834843,2904923.0,48.11,117.22,2358758.0,59.25,175.03,14626.0,11075.0,2259.0,0.704,639783.0,13.05
Alabama,2022-01-18,372,2022-01-18,Alabama,4903185,5820951.0,8710160.0,2901806,2927217.0,48.42,118.72,2374104.0,59.7,177.64,23222.0,12112.0,2470.0,0.669,676917.0,13.81
Alabama,2022-01-25,379,2022-01-25,Alabama,4903185,5919745.0,8824030.0,2944226,2989103.0,49.24,120.73,2414385.0,60.96,179.97,56913.0,14113.0,2878.0,0.672,678094.0,13.83
Alabama,2022-02-01,386,2022-02-01,Alabama,4903185,5964639.0,8903600.0,2948350,3001733.0,49.49,121.65,2426408.0,61.22,181.59,13677.0,14940.0,3047.0,0.671,698716.0,14.25
Alabama,2022-02-08,393,2022-02-08,Alabama,4903185,6001038.0,8941300.0,2949539,3012729.0,49.72,122.39,2437859.0,61.44,182.36,7236.0,5712.0,1165.0,0.671,713025.0,14.54
Alabama,2022-02-15,400,2022-02-15,Alabama,4903185,6031560.0,9017400.0,2993409,3021405.0,49.93,123.01,2448121.0,61.62,183.91,7931.0,5211.0,1063.0,0.669,724879.0,14.78
Alabama,2022-02-22,407,2022-02-22,Alabama,4903185,6082787.0,9212140.0,3138893,3030186.0,50.13,124.06,2457846.0,61.8,187.88,31400.0,8113.0,1655.0,0.669,758164.0,15.46
Alabama,2022-03-01,414,2022-03-01,Alabama,4903185,6100421.0,9254240.0,3158073,3035346.0,50.25,124.42,2463862.0,61.91,188.74,3786.0,7251.0,1479.0,0.66,764907.0,15.6
Alabama,2022-03-08,421,2022-03-08,Alabama,4903185,6117662.0,9302640.0,3184978,3040195.0,50.37,124.77,2469598.0,62.0,189.73,4908.0,3145.0,641.0,0.659,771834.0,15.74
Alabama,2022-03-15,428,2022-03-15,Alabama,4903185,6133930.0,9337440.0,3203510,3045185.0,50.48,125.1,2475174.0,62.11,190.44,4383.0,2324.0,474.0,0.657,777912.0,15.87
Alabama,2022-03-22,435,2022-03-22,Alabama,4903185,6145984.0,9355140.0,3213795,3048830.0,50.56,125.35,2479239.0,62.18,190.8,2683.0,2386.0,487.0,0.657,782532.0,15.96
Alabama,2022-03-29,442,2022-03-29,Alabama,4903185,6157587.0,9400540.0,3242953,3052367.0,50.63,125.58,2482580.0,62.25,191.72,3457.0,1658.0,338.0,0.656,787456.0,16.06
Alabama,2022-04-05,449,2022-04-05,Alabama,4903185,6180194.0,9455740.0,3275546,3056752.0,50.73,126.04,2487271.0,62.34,192.85,4624.0,3230.0,659.0,0.655,801253.0,16.34
Alabama,2022-04-12,456,2022-04-12,Alabama,4903185,6207259.0,9530740.0,3326734,3061267.0,50.82,126.6,2491778.0,62.43,194.38,7107.0,3885.0,792.0,0.653,819506.0,16.71
Alabama,2022-04-19,463,2022-04-19,Alabama,4903185,6240831.0,9584440.0,3346215,3068703.0,50.97,127.28,2499054.0,62.59,195.47,5921.0,5328.0,1087.0,0.651,838758.0,17.11
